	BALBcJ_F0_Control_BALB01C	BALBcJ_F0_Control_BALB01D	C57BL6J_F0_Control_C5701C	C57BL6J_F0_Control_C5701D	BALBcJ_F0_LPS_20210513_1a	BALBcJ_F0_LPS_20210513_1b	C57BL6J_F0_LPS_20210513_2b	C57BL6J_F0_LPS_20210513_2c	BALBcJ_F1_Control_cb61a	BALBcJ_F1_Control_cb61b	BALBcJ_F1_Control_cb61c	BALBcJ_F1_Control_cb61d	C57BL6J_F1_Control_cb61a	C57BL6J_F1_Control_cb61b	C57BL6J_F1_Control_cb61c	C57BL6J_F1_Control_cb61d	BALBcJ_F1_LPS_cb61a	BALBcJ_F1_LPS_cb61b	BALBcJ_F1_LPS_cb62a	BALBcJ_F1_LPS_cb62b	BALBcJ_F1_LPS_cb62c	C57BL6J_F1_LPS_cb61a	C57BL6J_F1_LPS_cb61b	C57BL6J_F1_LPS_cb62a	C57BL6J_F1_LPS_cb62b	C57BL6J_F1_LPS_cb62c
Olfr92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Osbp	24.338	28.798	24.863	24.172	13.549	10.803	11.924	10.34	32.969	31.621	34.653	31.739	31.115	30.178	35.963	32.934	11.965	16.921	11.604	22.896	7.532	14.109	20.451	14.159	20.4	7.592
Dalrd3	51.844	49.582	48.691	52.484	18.983	20.815	18.342	18.631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alpk1	66.713	53.177	31.324	32.549	118.34	106.533	57.213	67.418	471.548	418.2	394.69	413.48	168.06	160.837	155.042	160.752	824.35	727.965	715.695	869.059	547.474	321.39	241.691	284.067	386.299	204.117
Dcbld2	1.925	2.002	1.243	1.336	7.211	4.379	4.556	4.506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A330008L17Rik	0	0.195	0.051	0	0	0	0.136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rsph3a	3.167	3.32	3.436	3.64	1.097	0.8	1.457	2.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp2b4	0.236	0.077	0.292	0.243	0.45	0.503	0.73	1.453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxa10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctag2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem8	17.998	17.082	11.116	9.712	4.043	3.015	1.699	1.485	27.399	15.594	25.764	24.184	19.578	15.008	20.897	22.706	3.876	6.102	4.842	3.009	2.987	4.829	3.362	5.383	5.166	1.378
Tnks1bp1	6.893	7.085	9.047	8.317	3.509	4.76	5.76	8.107	9.747	6.565	9.492	7.32	9.226	6.75	7.199	8.212	4.268	4.544	1.517	5.075	4.155	6.509	4.174	3.125	4.313	4.471
Mrgpra2b	0	0	0	0	0.063	0	0	0.784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hrasls	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb9c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssx9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc24	1.357	1.205	0.99	1.058	0.585	0.959	0.749	0.208	0.461	1.418	1.784	1.04	1.948	2.321	2.319	1	0	1.268	0	0.476	0	1.514	0.394	0.426	0.995	1.291
Gas5	24.649	26.968	27.384	29.026	15.754	15.825	17.298	23.984	270.325	355.441	292.158	305.999	237.223	312.956	261.407	286.316	78.179	94.088	74.601	159.326	162.224	57.488	72.102	62.683	135.824	138.937
Atxn7l1	11.529	11.391	13.362	12.762	35.488	27.742	49.151	51.631	42.914	41.274	52.36	50.486	42.152	36.403	45.421	34.893	130.718	110.119	123.523	128.854	106.281	142.432	89.916	151.179	109.998	96.03
Txnl4b	4.097	5.862	5.051	7.126	2.564	2.069	1.225	1.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Airn	0	0	0.096	0.663	0	0	0.382	0.705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcne3	0.094	0.233	0.123	0.141	0	0.476	0.163	0.361	0	0.87	0.404	0.986	1.847	1.113	1.82	0.316	0	0	0	0.827	0	0	0	4.142	0	0.264
Senp6	19.92	20.592	21.659	20.699	18.473	16.716	19.695	15.473	21.824	23.98	22.242	25.295	24.848	19.491	21.45	22.323	17.032	12.439	12.46	16.574	9.26	12.854	15.108	13.272	18.042	10.493
Nup153	26.547	26.501	32.605	28.949	18.132	18.678	24.603	31.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tshr	0.024	0	0	0	0	0	0	0.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2a22	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apom	0.146	1.795	0.948	3.492	1.792	1.103	3.014	6.407	5.928	5.145	3.744	5.327	5.938	5.581	3.41	3.903	7.852	8.219	3.936	7.657	6.304	5.143	7.669	3.653	3.557	6.518
Tmem158	1.071	0.807	0.387	0.268	0.366	0	0.103	0	0	0	0.085	0	0	0	0.082	0	0	0	0	0	0	0	0	1.12	0	0
Fabp4	0.762	0.94	1.39	1.143	3.403	6.93	4.209	13.421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sox10	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sub1	10.807	13.138	12.051	9.872	9.702	13.253	11.572	10.281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc5	40.449	42.115	50.17	48.02	32.91	29.056	28.946	43.832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcdin3d	1.624	2.405	2.116	2.558	0.125	0.615	1.121	0.622	5.1	5.991	3.831	4.246	6.362	6.707	5.261	2.178	0	0	2.745	0	0	1.208	2.656	0.255	0.827	2.273
Gm5065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd21	7.002	8.893	7.132	7.381	3.814	3.064	4.186	3.648	19.997	18.056	19.022	15.764	15.271	14.363	20.255	15.798	5.54	6.209	7.732	7.065	3.21	6.446	3.337	7.067	6.705	3.007
Ctxn2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbx22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d10c	0.471	0.945	1.458	3.533	0.544	0.893	0.61	0.676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pglyrp2	0.152	0.329	0.745	1.772	0.792	0.963	1.052	1.386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14085	2.905	2.15	0.036	0.124	4.088	2.725	0	0	0.986	1.785	1.74	0.964	0.542	1.183	0.191	0.649	1.437	0.97	2.104	1.455	1.529	0.566	0	0.087	1.014	0.929
Lyzl4	0.859	0.398	0.979	0	0.579	0.271	0	0	2.916	0.495	4.145	0.749	4.031	0.95	4.442	1.44	3.434	0	3.449	2.825	4.171	0	0	7.75	0.437	2.405
1700001G11Rik	0	0.331	0.7	0.201	0.103	0	0.232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctla4	0	0	0	0.08	0	0.135	0	0	0.272	0	0	0	0	0.158	0.442	0	0	0	0	0	0	0	0	1.843	0	0
Klf9	19.641	25.201	36.887	34.803	7.096	12.679	51.7	32.692	3.965	9.317	8.078	3.412	8.708	17.229	13.404	5.556	4.921	5.411	4.056	4.222	3.631	13.212	9.466	16.888	10.738	13.609
Serpini1	0.195	0.241	0.127	0.244	0.125	0	0	0.249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fnbp4	51.335	42.911	60.252	53.818	44.999	50.408	67.735	105.657	14.169	13.847	14.484	15.51	12.726	11.371	12.996	14.25	23.725	15.272	14.446	15.984	9.049	18.149	11.848	12.232	15.567	8.94
Gorab	1.767	1.611	1.751	2.131	2.188	2.231	1.458	1.397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scd2	14.918	17.001	18.811	28.04	1.382	3.247	2.512	3.691	6.834	2.847	11.943	10.675	10.119	5.548	12.534	13.37	1.058	0.331	1.31	1.948	0.508	0	0	0.356	0.693	0.159
Ldoc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pacsin3	0.056	0.137	0	0.251	0	0	0.288	0.96	0	0.514	0.478	0	0	0.493	0.461	0	0	0	0	0.611	0	0	0	0	0.567	0
Grsf1	39.986	41.912	51.045	46.897	25.6	23.324	17.878	16.166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrpd1	7.926	12.373	6.29	8.914	20.776	19.39	14.315	12.086	0	0	0	0	0	0	0	0	0	0	0	0	0.925	0	0	0	0	0.866
Olfr176	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skint3	0	0	1.962	1.55	0	0.224	0.102	0.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnc	8.185	6.694	6.643	5.603	12.85	10.261	8.391	9.137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930558J18Rik	0	0	0	0.226	0	0	0	0	0	0.618	0.718	0.35	0	0.148	0	0	0	0	0	0	0	0	0	0	0.205	0
Gm5925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ercc8	3.44	4.243	3.008	1.916	4.539	3.351	1.611	2.915	2.919	1.208	2.95	3.511	2.406	1.522	0.881	2.059	3.24	3.445	1.744	3.878	4.918	3.473	2.321	0.771	3.302	2.132
Mettl13	9.44	9.452	11.57	12.601	1.766	0.748	7.983	5.101	36.307	25.769	39.467	39.543	30.685	25.602	39.387	38.831	6.952	1.009	0	3.895	1.935	5.989	10.626	7.606	7.538	10.93
Apol7c	0	0	0.987	1.288	0	1.531	1.918	4.157	0.171	1.242	0	0.176	0.742	1.713	0	0.508	1.211	0.197	0	0	0	1.127	0	0.951	1.337	0.212
Trpv5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8030451O07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930453N24Rik	13.194	12.924	14.554	12.22	18.216	15.483	19.281	21.387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loxhd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931422A03Rik	1.52	0.703	1.485	2.85	0	0.24	1.312	1.091	5.16	9.053	8.691	8.61	10.233	8.127	14.668	7.484	3.797	3.33	1.606	1.666	6.812	7.421	5.524	2.086	1.548	3.989
Gm29683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Banf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38666	3.208	3.738	2.756	2.005	2.538	2.419	3.459	2.302	3.365	1.712	1.942	2.097	3.49	1.61	1.996	1.904	1.959	1.779	0.489	1.025	1.098	1.989	1.579	0.454	0.953	1.341
Gm13769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rem1	0.064	0	0	0.097	0.099	0	0.111	0	0.438	0.198	2.027	1.124	0.631	0.19	0.8	0	0	0	0	0	0	2.158	0	0	1.576	0
Ddx39	32.324	27.223	15.796	16.032	30.986	30.631	27.398	19.024	83.705	68.598	68.891	70.925	74.37	59.928	60.836	61.706	77.32	76.937	73.537	79.617	71.619	77.431	92.799	50.5	70.147	72.789
Tufm	4.05	5.45	3.117	2.945	4.392	3.254	2.435	1.292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pram1	24.637	23.212	56.295	58.005	2.239	5.854	4	2.871	55.611	41.631	39.822	57.664	62.377	49.267	53.564	62.762	0.272	3.717	6.683	4.583	1.018	1.352	4.459	5.489	3.147	2.544
Gm10591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syt14	0	0	0	0	0	0	0	0	0	0	0	0.046	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0
Vipr2	0	0	0	0.092	0	0	0	0	0	0	0.131	0	0	0	0	0.512	0	0	0	0	0	0	0	0	0	0
Abhd6	1.97	1.049	0.758	0.805	0	0.678	0.541	1.542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drg2	29.08	30.07	26.683	22.717	16.081	12.753	14.22	7.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pip5k1c	81.808	74.82	74.489	76.43	72.435	74.407	65.012	38.843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif2ak3	20.514	18.659	19.342	22.031	2.752	2.605	1.977	1.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf12	14.943	17.392	11.077	13.674	10.497	11.224	6.346	5.572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acpp	0	0	0.09	0.069	0	0	0	0.176	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snhg18	0.556	0	0.362	0	0	0	0.36	0.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl2b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gbx2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf8	12.898	11.041	11.868	13.008	9.139	7.713	6.726	6.311	2.233	2.122	2.252	4.473	1.961	1.964	2.082	3.947	0.487	1.107	0.769	1.531	1.165	0	0.62	0.713	1.29	1.091
Plekhb1	0.058	0	0.152	0.613	0.225	0	0.202	0.559	0.595	0	0	0.204	0	0.603	0.402	0.391	0.117	0	1.678	0	0	0	0	0.733	0.832	1.471
Fry	1.602	1.975	2.538	2.633	0.735	0.707	1.931	2.695	2.685	1.66	2.923	2.976	2.409	1.878	2.899	3.686	0.578	0.676	0.636	0.994	0.101	0.771	0.631	0.651	1.277	0.054
Rora	1.63	1.497	0.889	0.64	0.817	0.742	0.213	0.435	0.048	0.087	0.095	0.05	0.077	0.056	0.052	0.064	0	0.037	0	0.062	0	0	0	0	0.077	0
Xirp1	0	0	0	0	0.041	0	0.304	0.338	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.787	0	0	0	0
Acsbg1	0.037	0	0.146	0.503	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbccd1	8.438	9.317	8.013	8.343	3.346	2.419	2.543	1.904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930505A04Rik	0	0	0.146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp12	4.588	6.253	5.146	3.526	2.017	1.071	1.796	1.328	1.047	0.918	1.405	1.747	0.912	1.791	1.355	2.099	0	0	0	0.169	0.173	0	0	0.272	0.039	0.432
Ube2q1	71.662	71.874	75.576	69.156	41.639	42.806	38.856	38.539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gcat	0.784	0.752	0.397	0.523	0.201	0.44	0.677	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fhl3	19.821	24.903	13.586	9.938	98.607	64.313	47.325	30.768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ecsit	8.235	9.547	9.354	9.192	3.24	2.346	1.923	2.725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem38a	0.695	0.911	5.433	8.928	0.1	0.988	1.05	0.915	2.802	2.671	4.782	3.787	22.621	14.932	17.909	19.589	0	0	0.367	0	0.519	2.344	1.658	0.341	0.973	0.304
Ip6k2	8.305	9.967	9.28	7.236	10.234	7.652	6.873	6.765	19.71	17.849	12.59	14.765	17.488	13.074	19.102	18.429	14.462	10.926	13.086	12.299	12.822	13.878	10.092	16.369	12.454	10.207
Zfp879	0	0.278	0.294	0.474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutal	0	0	0.057	0.132	0	0	0.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh2d1a	0	0	0	0.178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dedd2	9.777	18.264	10.156	7.542	0.957	1.713	2.535	1.298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il20rb	0.458	0.823	1.303	0.75	2.117	1.789	2.229	1.675	1.415	2.818	1.132	1.017	3.877	4.302	1.436	3.702	0	5.519	3.663	4.568	2.428	8.216	7.118	5.099	4.159	8.749
Srek1ip1	11.678	10.821	11.21	7.893	7.004	9.277	4.257	3.043	5.861	3.96	7.13	6.974	6.083	3.234	3.552	4.502	3.615	7.046	1.853	4.687	2.293	1.325	0.996	0	0.893	4.373
Gm6083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dclk3	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933400F21Rik	0.114	0.035	0	0.086	0.088	0	0.098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lama1	0.011	0.054	0.156	0.016	0.008	0.055	0.019	0.021	0.037	0	0	0.019	0.036	0.112	0	0.182	0	0	0	0	0	0	0	0	0	0
Krtap4-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp592	17.585	17.594	25.625	25.797	13.185	10.96	13.023	14.121	41.881	35.668	44.001	37.097	44.217	35.875	43.038	38.184	18.866	15.414	21.978	19.024	15.496	17.034	14.767	19.244	22.624	15.805
Myod1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930467D21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp2r2c	0	0	0.033	0	0.039	0	0	0	0	0	0	0.088	0	0	0	0.085	0	0	0	0	0	0	0	0	0	0
Enoph1	9.72	9.132	5.52	7.712	5.436	4.282	7.702	2.92	19.467	19.019	21.807	22.453	20.379	19.334	21.887	24.621	9.71	8.143	7.927	2.106	9.031	9.248	4.209	5.495	2.071	8.382
Plekhj1	37.811	34.472	32.22	30.444	33.905	23.041	20.279	14.943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igf1	114.608	136.677	148.685	130.165	40.644	57.688	66.175	61.2	42.196	21.839	41.758	37.539	45.507	21.277	40.57	38.156	9.792	11.795	17.543	15.718	8.637	8.63	9.613	17.891	13.836	6.696
Trim44	38.998	34.356	41.891	41.05	16.009	17.527	19.164	16.654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310016G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actl6b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cul7	2.488	3.254	2.948	2.3	0.619	0.898	0.646	0.322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otop1	0	0.04	0	0	0	0	0	0	0	0	0	0.057	0	0.338	0	0	0	0	0	0	0	0	0	0	0	0
Cmtm6	59.606	53.53	68.611	72.177	49.232	53.515	55.45	72.336	61.426	53.265	65.01	58.901	78.189	68.167	78.166	73.389	59.85	64.317	79.887	68.49	58.475	65.029	79.12	84.657	77.344	68.774
3110040N11Rik	3.632	3.883	4.415	3.086	3.168	1.223	2.507	0.695	3.903	5.209	6.402	6.329	4.544	6.249	3.17	4.666	4.596	0.707	0	2.919	0	2.702	0	1.139	0	0.678
Ptpn7	0.586	0.456	0.883	1.802	0.024	0.078	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snai2	0.257	0	0.2	0	0	0.389	0	0.295	0	0.079	0	0	0.586	0	0.212	0.086	0	0	0	0	0	0	0	0	0	0
1190002N15Rik	20.374	22.846	28.298	24.566	1.305	2.108	1.08	1.498	28.462	20.123	28.222	24.183	20.048	18.657	27.576	20.85	1.147	1.422	0.97	1.086	0	1.601	1.327	1.637	0.212	0.657
Ndufb10	34.849	40.16	34.943	28.95	20.02	21.898	27.662	18.786	107.162	86.738	113.404	97.22	97.175	88.061	118.609	111.855	80.411	53.2	65.528	44.108	85.034	59.327	49.935	58.762	47.973	70.055
Csnk2b	78.782	86.619	89.435	88.291	97.052	78.383	98.38	69.658	142.779	125.815	144.127	139.797	147.392	121.951	134.587	153.782	105.686	120.266	111.526	115.718	109.805	102.396	80.741	145.715	119.682	90.038
Eya2	0	0	0	0.316	0	0	0	0	0	0	0	0	0	0.87	0	0	0	0	0	1.108	0	0	0	0	0	0
2700070H01Rik	0.177	0.218	0.846	0.354	0.045	0	0	0.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacna1b	0.011	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A630023P12Rik	0	0.198	0.209	0.481	0	0	0.553	0	0	0	0.687	0.559	0	0	0.221	0	0	0	0	0	0	0	0	0	0	0
6030466F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl27	2.406	1.222	0	0	1.198	2.145	0.733	1.896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn2b	1.111	2.011	1.544	1.333	1.939	2.807	1.662	0.851	2.389	2.505	1.271	1.162	0.121	0.874	0.919	0.372	3.849	0	0	5.521	2.766	0	3.365	2.905	5.28	1.866
Ascl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16796	0	0	0.085	0	0	0	0.112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tph1	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810403A07Rik	29.399	31.48	32.806	32.496	40.657	30.489	34.874	32.63	27.206	22.441	19.416	20.799	25.623	28.104	22.287	25.392	27.198	29.077	18.823	21.821	18.072	18.308	19.935	17.555	20.776	11.699
Trim61	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212	0	0	0	0	0	0	0	0	0	0	0	0
Isx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdcp	2.422	3.074	2.971	1.632	2.431	1.152	3.028	1.411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp4a	0	0.037	0	0.533	0	0	0	0.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam19a2	0.201	0.276	0	0	0.034	0.113	0	0	0.038	0.137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fabp3	0.487	1.201	0	0	0.375	1.23	0.56	0.621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tlr1	35.43	29.009	36.849	39.206	99.817	69.045	54.353	59.963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gskip	12.989	10.225	8	9.822	9.255	9.065	10.087	7.294	13.563	17.059	14.861	16.185	16.665	18.553	19.177	12.215	11.607	13.33	12.319	19.06	12.601	17.41	15.798	11.143	15.07	8.389
4933408B17Rik	0.254	0.157	0.331	0.064	0	0.107	0.146	0	0.431	0.065	0.605	0	0.276	0.062	0.233	0	0	0	0	0	0	0	0	0.465	0	0
Tbc1d24	5.803	7.076	6.988	6.58	2.879	1.769	2.166	1.948	18.884	16.269	18.134	18.932	25.772	19.803	24.866	25.736	6.364	3.603	3.551	3.534	1.105	3.515	4.538	3.566	4.468	2.478
Npy1r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbmxl1	4.24	4.218	4.097	4.239	5.018	4.03	4.877	5.497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl7a2	0.058	0	0	0	0	0	0	0	0	0.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyz1	3.433	3.025	4.258	4.167	4.34	4.954	3.808	1.251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Celf4	1.21	1.096	0.321	0.518	0.304	0.623	0.17	0.094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm33354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Necap2	116.59	115.29	90.052	91.565	71.971	57.57	55.062	52.766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
