	BALBcJ_F0_Control_BALB01C	BALBcJ_F0_Control_BALB01D	C57BL6J_F0_Control_C5701C	C57BL6J_F0_Control_C5701D	BALBcJ_F0_LPS_20210513_1a	BALBcJ_F0_LPS_20210513_1b	C57BL6J_F0_LPS_20210513_2b	C57BL6J_F0_LPS_20210513_2c	BALBcJ_F1_Control_cb61a	BALBcJ_F1_Control_cb61b	BALBcJ_F1_Control_cb61c	BALBcJ_F1_Control_cb61d	C57BL6J_F1_Control_cb61a	C57BL6J_F1_Control_cb61b	C57BL6J_F1_Control_cb61c	C57BL6J_F1_Control_cb61d	BALBcJ_F1_LPS_cb61a	BALBcJ_F1_LPS_cb61b	BALBcJ_F1_LPS_cb62a	BALBcJ_F1_LPS_cb62b	BALBcJ_F1_LPS_cb62c	C57BL6J_F1_LPS_cb61a	C57BL6J_F1_LPS_cb61b	C57BL6J_F1_LPS_cb62a	C57BL6J_F1_LPS_cb62b	C57BL6J_F1_LPS_cb62c
Acp1	33	30	123	66	25	23	52	52	28	34.5	44	28	138	142	139.5	114.5	36	30	18.5	4.5	15.5	52.5	61.5	82	52	72.5
B4galt7	164	189	130	115	220	37	89	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sae1	390	329	237	180	502	89	122	124	0	2	0.5	0	0	0	0.5	0.5	6	6	0	0	0	0	0	2.5	0	3
Olfr330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nucb1	3998	3173	2651	2245	3311	963	1319	1038	632.5	582	735.5	522.5	626.5	636.5	935	716.5	265	268.5	399.5	173.5	258.5	364.5	277.5	491.5	249	325
BC037156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec12a	2386	2390	3241	2735	5982	1788	2845	2667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Papola	3591	2848	2917	2370	4363	1143	1602	1423	1291	1510.5	1390	1203.5	1320	1435	1429.5	1190.5	706.5	746.5	843	783.5	578	648	724	956	765.5	597
Syt5	26	23	6	13	16	13	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp4r3b	1443	1072	1364	1019	1553	410	585	526	1060.5	1168.5	1353	1073	1007.5	1076.5	1277	1068	670.5	579.5	672	615	562	568	645.5	665.5	659	568
Gm3985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasl12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zcchc3	12	17	12	11	52	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igf2bp2	153	155	185	109	225	65	273	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubb5	1853	2303	3554	3042	5184	987	2021	1101	967	899	1101.5	881	1001.5	874.5	1066.5	955.5	222	456	440	256.5	413.5	259	275	389	261	390.5
Anapc5	1772	1192	1373	1087	1105	368	569	343	1441.5	1323.5	1686.5	1395	1396.5	1306	1613	1323	480.5	484	744.5	442	668.5	510.5	537.5	700	458.5	706
Cth	6	7	15	27	13	8	20	59	2	1	1	0	2	1	1	0	4.5	2.5	0	0.5	16	4.5	2.5	0	0.5	16
Mprip	2040	1596	1676	1333	1180	428	603	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A930013F10Rik	119	76	182	101	57	18	26	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg2	404	338	499	475	1031	292	577	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A930007I19Rik	8	2	9	8	6	6	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ido1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc45a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prcc	542	499	408	377	619	118	211	191	310.5	296	435	235	327	324	400.5	279	180.5	164.5	154.5	126.5	162.5	137	99.5	147.5	132	127
Rnf4	1312	1200	1014	945	2592	715	1098	1014	209.5	210.5	249.5	210.5	209	184	277.5	204	205	171.5	239	160	323	225.5	165	143	210.5	225
Krtap20-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nipal2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D930048N14Rik	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itih5l-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kat2b	1123	857	1269	1045	633	233	372	581	115	128	179	88.5	129	128	170	145.5	28	27.5	85.5	57.5	38	45.5	66	70.5	63.5	37
Arhgef33	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex29	5	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thegl	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scap	1489	1097	1066	939	710	179	322	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnb3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk1b5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb1c	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpa3	0	0	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fnip1	1941	1767	1590	1437	1859	479	721	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnai3	1553	1366	1067	971	4078	1328	1354	1265	0	1.5	1	0	0.5	0	2	0	0	0	0	2.5	0	0	0	0	1	4
Pus3	80	71	60	46	91	23	27	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310002D06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gabbr2	2	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ext2	1399	1087	885	672	661	195	164	111	688	676.5	924	727.5	614.5	623.5	824.5	636.5	120.5	151	268.5	134.5	209	170.5	154.5	220.5	132.5	210
Adamts19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tram2	88	75	49	42	507	82	165	193	66	78.5	74	90	59	67.5	71.5	59	232.5	144.5	223.5	166.5	99.5	236.5	184.5	141	161.5	79
Tmem63b	635	432	568	530	702	155	357	335	311	303	309.5	282.5	290	313.5	333.5	324	244.5	183.5	228	233.5	145	180.5	190	256.5	214.5	185.5
Gm20822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Timm13	236	186	112	117	235	52	68	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rassf10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	2.5	0	0
Mup7	2	0	23	12	0	9	59	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl3	1	0	0	0	644	2030	80	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem81	84	98	53	36	30	15	24	3	27	20.5	25	17	13.5	9.5	23.5	18.5	0	1	1.5	6.5	0	0	1.5	7	7	0
Olfr550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex9	44	16	21	22	9	2	1	0	6.5	2.5	2	2	0	3	3	2	0	0	0	0	0	0	0	0	0	0
Adgrf4	0	0	7	3	0	0	2	0	0.5	0	0.5	0	4	3	5	3	0	0	0	0	0	0	0	0	0	0
1700003G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmprss4	44	27	74	68	6	2	11	12	25	3.5	28	20	16	17.5	21	11	8	0	5	0	3.5	8	8	0	0	0
Polr1b	252	171	231	185	230	27	76	28	122.5	121.5	99.5	70	143	126.5	142	104	6.5	12	28	18.5	23	42.5	6	39	23	10
Has2os	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pik3ap1	4168	3278	3102	3064	10660	2891	6147	6948	2728.5	2897.5	3787	3139.5	2633.5	2771.5	3486	2821	6706.5	4802.5	7867	5797	4589	6721	5397.5	7693	5914	5235.5
Traf3	596	423	487	467	1479	381	777	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdhx	226	160	173	121	281	85	123	79	104	103.5	117	126.5	86.5	95.5	128.5	79	158.5	70.5	75.5	64.5	126	34.5	71.5	103	65	57
Gm4832	0	1	0	1	11	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amer1	201	95	239	178	119	23	63	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Soga1	2690	2425	1719	1430	1836	453	708	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9530059O14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdp2	77	85	83	65	77	16	18	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem237	110	68	51	58	91	17	23	14	91	95.5	69.5	94.5	95	88	84	83	10	15	8.5	14	40	11	51	35.5	15	23.5
1600014C23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spint2	21	12	7	12	42	23	38	24	3	14.5	18	6.5	8.5	12	7.5	1.5	6.5	2	8.5	2	18	0	0	4	4	5.5
Dzip1	26	11	25	30	8	7	8	7	3.5	2.5	6	2	9.5	2	7	2	4	0	0	0	0	2	0	0	0	2
Pkhd1	0	1	5	0	4	0	8	0	3.5	2.5	0	0	3	1.5	0	1	4.5	0	0	1	14	0	0	0	3	3
Gatad2b	535	386	608	534	269	80	163	95	36	51	52.5	55.5	35.5	51	52.5	55	21	17	11.5	4.5	2.5	21	17	11.5	4.5	2.5
Rph3al	4	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sprr2a3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam8a1	237	192	133	103	158	31	58	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgcc	0	0	1	0	6	0	1	0	1.5	2.5	0	0	0	1.5	0	0	0	0	7.5	0	4.5	4.5	18.5	10	20	33
Hnrnpa2b1	2427	2398	2001	1739	4406	1320	1862	1391	899	1143	1211.5	833	866	1060	1137.5	833.5	1034	1109	1348	1188	1338.5	1067	970.5	1181.5	1195.5	1275
Cypt15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grip1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vat1	3528	3075	1475	1364	7191	1966	4212	3968	53.5	40	84.5	48	41.5	56	60	38.5	102	204	164	179	140.5	104	121	119	120.5	139.5
Eras	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gas2l3	643	567	623	680	1594	453	399	480	471.5	443	557	428.5	466.5	436.5	491.5	458.5	799.5	753.5	887	913.5	714.5	389	350.5	409.5	431	290.5
Slc2a3	168	155	188	120	65	28	21	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptgdr2	25	17	13	6	61	23	28	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Toporsl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retreg3	1047	718	954	679	572	129	177	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bhlhe23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Romo1	96	84	34	31	120	20	56	41	22.5	32.5	47	33.5	31	34.5	45.5	29	9.5	35.5	26.5	27	56	9.5	27	26	27	36
Ctnnbip1	748	449	526	385	259	68	89	30	140	157	175	165	191.5	180	192.5	138	56	36	44.5	41	19.5	63	29.5	42.5	30.5	40.5
Lig1	307	215	197	170	62	50	61	32	284	375.5	407.5	336	288.5	373.5	399.5	316.5	51	24	53.5	39.5	76.5	35.5	20.5	47.5	37	81
Glis3	271	136	49	45	320	66	23	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufb5	352	300	199	205	449	97	153	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4f41-ps	4	8	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tspan17	347	255	204	156	154	54	85	24	59.5	98	107.5	92.5	59.5	97	107	88.5	21	21.5	44	18	23.5	21	22	44	18	23.5
Slc1a7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P3h3	106	101	48	38	31	7	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo7a	2658	2470	3201	2412	448	261	281	171	4397	4397	5541	4065.5	5417	5431.5	7201	5059.5	269.5	204.5	320	261.5	244.5	293	213.5	364.5	228.5	263.5
Scamp1	787	629	506	345	2842	694	1006	916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gbe1	179	119	282	210	215	63	132	147	157.5	142.5	193	131	186	182.5	243.5	176	88	120	112	71	95	97	108.5	177	90.5	117
1700028E10Rik	13	5	8	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pih1d1	468	382	294	244	214	77	99	75	508.5	381.5	572	417	396	382.5	516.5	373.5	182	153.5	188.5	120.5	231.5	149.5	160	176	133	140.5
Timm44	420	367	382	288	511	134	199	163	74.5	59.5	109.5	78	74	64	93	69	64.5	54.5	60.5	56.5	50.5	60	48.5	77	56.5	34.5
Abhd18	70	38	61	46	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spink14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptprr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm45913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Recql5	267	218	269	228	196	62	82	53	39.5	56	64.5	56	62	66.5	54.5	50	32.5	14.5	10.5	21.5	20	9	41.5	10.5	25	27.5
Gtdc1	241	198	233	131	255	82	126	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp8b1	0	1	0	0	10	2	7	6	0	0.5	0.5	5.5	0	0	0.5	4.5	0	0	0	2.5	0	0	0	0	2.5	0
P2ry4	1	0	0	0	0	0	0	1	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tchhl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clcnkb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr87	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf169	949	1378	911	843	522	201	304	286	271	436	373	168	213	449	395	156	52	10.5	55.5	56.5	70	51	35	61	70.5	83.5
Nkain2	3	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Notch3	3	3	10	2	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akip1	81	48	49	64	41	16	21	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnmt	427	320	454	336	416	92	167	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx21	1580	1164	1107	1046	2856	781	1183	1060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930548H24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp324	48	61	57	66	17	5	5	1	18.5	28	38	6	26	18	35	8.5	1.5	0	0	0	0	0	0	0	0.5	0
Msr1	16677	9203	8007	5865	27806	8623	11318	9182	13513	14998.5	14265.5	11179.5	12362.5	13148.5	12654	10593	16973.5	16769.5	20193	15640.5	16965	15626	16066.5	18386	14133	16319.5
4930532M18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nudt16	527	416	219	212	364	79	58	35	898.5	963.5	965.5	799	529	518	526.5	510.5	247	202.5	226	208.5	190	85	106	88	57	119.5
Stxbp3	470	417	383	348	725	331	350	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vkorc1	325	310	272	216	261	94	150	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pgr15l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mif	176	163	95	96	181	44	93	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310030G06Rik	1	2	0	2	0	0	2	0	0	1	0	1	3	0	1	1	0	0	0	0	1	0	0	2.5	0	3.5
Zdhhc24	450	349	215	202	251	37	40	30	196.5	176	188	222.5	166.5	121.5	141.5	183	39.5	46	74.5	49.5	52.5	34.5	20.5	52.5	12	13.5
Echs1	619	449	450	440	227	80	101	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt80	312	199	159	156	66	14	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsr	55	22	39	54	18	16	18	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenon	2984	2295	1235	930	1891	542	638	487	2028	1759.5	2406.5	1868	1387	1226	1610	1266.5	725	808	776.5	506.5	840.5	622	786	750.5	530.5	668.5
Fam126a	1347	1051	1232	844	515	181	376	300	1425	1554.5	1869.5	1383	1499.5	1606	1738.5	1437.5	243.5	234	318	251	197.5	285	362.5	347	293.5	289.5
Cuedc1	11	6	6	3	4	5	5	3	19.5	10.5	14.5	13	16.5	10	17	12.5	0	16	0	2	20.5	0	0	4	4.5	18.5
E4f1	267	253	317	252	150	39	50	36	440	387.5	462.5	376.5	446	457.5	456	383.5	72	79.5	118.5	66	77	74.5	80.5	79.5	74.5	80.5
Gm4187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cltb	373	267	148	107	472	103	151	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr137b-ps	1334	813	656	652	2095	505	838	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F8	17	26	24	8	36	19	31	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930558F17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anks3	456	462	350	359	357	92	155	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amn	1	1	0	0	10	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lypd1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	3	0	0	0	0	3	0
Smim18	0	0	0	0	0	0	1	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10319	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fmo2	5	2	33	19	4	5	46	25	31	34.5	33	17.5	14	41.5	18	11	7.5	24	19.5	10.5	19	11	5	52.5	36	48
Pla2r1	3	9	2	5	13	5	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sun2	2091	1626	1386	1466	2899	761	1479	1463	828	719	857.5	875.5	743	706	921.5	739.5	896.5	901	1015.5	800.5	897	781.5	927	1116.5	770.5	1089
Gm15097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sox2ot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trappc9	731	605	447	328	550	199	306	191	448	513	569.5	464.5	391	443	460.5	411	238	277	247	223	286.5	202.5	228.5	269.5	195	189
Prelid1	914	776	583	532	1081	287	393	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angpt4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13199	30	28	23	19	30	8	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybph	0	1	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ydjc	21	10	17	5	11	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd10	482	409	419	331	167	66	123	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasgrp2	1807	1586	1964	1733	218	181	173	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp4r1	1284	1017	1035	933	4089	1082	1788	1676	335.5	384	430	360	375	377.5	460	402	726.5	486	1010	684.5	668	826.5	604	956	708.5	708
Tmem45a2	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chmp2a	640	622	335	284	979	304	351	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mmp23	6	8	7	9	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubxn2a	453	309	313	264	250	134	133	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrm3	5	3	8	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pfn4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpihbp1	13	20	25	6	29	19	24	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yjefn3	10	9	4	4	7	2	1	0	5	5.5	11.5	15	4.5	4	7	5.5	0.5	4	8	4.5	8.5	0	3.5	0.5	3	14
Galnt13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrgprh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fanci	141	127	145	102	129	62	83	48	6	0.5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rab27a	67	62	49	38	3	6	5	12	5.5	4.5	8.5	4	6	2	7.5	6.5	0	0	0	0	0	0	0	0	0	0
Gm32278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smc5	577	469	519	405	775	250	352	387	36	24.5	51.5	37	36	24.5	51.5	37	22	37	32.5	36	24.5	22	37	32.5	36	24.5
Grxcr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rtn2	11	4	20	15	39	7	29	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyms	36	55	39	31	45	5	22	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cmc1	176	137	125	95	77	37	32	36	68.5	70.5	78	81.5	77.5	70	106.5	66	17	16.5	20.5	11	7.5	21	26	16.5	8.5	22
AF067063	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
